title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Untitled (Murder of Olofernes),"$852,500","$500,000","$700,000",Signed and Dated,"27.50"" x 39.50""",1964,"Colored Pencil  , graphite, wax crayon and ballpoint pen / Paper",19B,"Christie's New York, Rockefeller Center",05/17/2018
UNTITLED,"$300,000","$220,000","$350,000",Signed and Dated,"29.50"" x 41.50""",1974,"Wax crayon, watercolor, paper collage and graphite / Paper",205,Sotheby's New York,05/17/2018
"""The Sculpture""",$420,$300,$500,Signed,"12.38"" x 9.50""",not given,Autographed / Paper,395,Michaan's Auctions,05/12/2018
Natural History Part I Mushrooms: No. IV,"$18,750","$7,000","$10,000",Signed Initials,"29.88"" x 22.00""",1974,"Lithograph with collotype in colors with collage and touches of hand-coloring, on Rives Couronne paper",45,Phillips New York,04/24/2018
Natural History Part I Mushrooms: No. VII,"$8,130","$7,000","$10,000",Signed Initials,"29.88"" x 22.00""",1974,"Lithograph with collotype in colors with collage and touches of hand-coloring, on Rives Couronne paper",46,Phillips New York,04/24/2018
Natural History Part I Mushrooms: No. X,"$8,130","$7,000","$10,000",Signed Initials,"29.88"" x 22.00""",1974,"Lithograph with collotype in colors with collage and touches of hand-coloring, on Rives Couronne paper",47,Phillips New York,04/24/2018
Natural History Part I Mushrooms: No. VIII,"$7,500","$7,000","$10,000",Signed Initials,"29.88"" x 22.00""",1974,"Lithograph with collotype in colors with collage and touches of hand-coloring, on Rives Couronne paper",48,Phillips New York,04/24/2018
Untitled,"$799,310","$656,250","$918,750",Signed and Dated,"27.52"" x 39.02""",1964,"Pencil  , colored pencil and ballpoint pen / Paper",12,Phillips London,03/08/2018
On Returning from Tonnicoda,"$1,743,980","$918,750","$1,312,500",Inscribed and Signed,"27.56"" x 39.37""",1973,Oil  with wax crayon and pencil / Paper,7,"Christie's London, King Street",03/06/2018
Untitled,"$767,480","$459,380","$590,630",Inscribed and Signed,"29.33"" x 41.89""",1963,Colored Pencil  and pencil / Paper,16,"Christie's London, King Street",03/06/2018
UNTITLED,-not sold-,"$150,000","$200,000",Signed and Dated,"33.88"" x 26.75""",1965,Pastel  and graphite with colored pencil / Paper,45,Sotheby's New York,03/02/2018
UNTITLED,"$187,500","$150,000","$200,000",Signed and Dated,"33.88"" x 26.50""",1965,Pastel  and graphite with colored pencil / Paper,46,Sotheby's New York,03/02/2018
Note II,"$112,500","$60,000","$90,000",Signed Initials,"8.75"" x 10.75""",1967,Etching on Auvergne handmade paper,125,Los Angeles Modern Auctions (LAMA),02/25/2018
Natural History Part I. Mushrooms. 1974,not,"$3,481",n/a,Signed,"29.92"" x 22.05""",not given,Crayon  on lithography and collage / Paper,143,Fernando Duran,12/27/2017-12/28/2017
Portrait of Henry Heymann,-not sold-,"$100,000","$150,000",unknown,"45.00"" x 33.00""",1956,Oil  and graphite / Canvas,69025,Inquire about post-auction sale,11/30/2017
Senza titolo,"$543,390","$464,240","$696,360",Signed,"19.69"" x 27.56""",1962,"wax crayons, colored pencils, binder and graphite / Paper",95,BlindArte,11/29/2017
UNTITLED,"$615,000","$500,000","$700,000",Signed and Dated,"27.50"" x 39.38""",1961,Pencil  and wax crayon / Paper,178,Sotheby's New York,11/17/2017
